#=========================================================================
#  COLUMN LABELS: SMaxis   rp   ecc   inc   Tiss   indexRun
#  Units: km,rad,s
#=========================================================================
    1.605336E+09     7.527122E+08     5.311185E-01     1.353440E-01       2.903134   61
    1.617480E+09     7.529969E+08     5.344628E-01     1.354111E-01       2.902573   62
    1.629049E+09     7.532454E+08     5.376164E-01     1.354742E-01       2.902025   63
    1.640041E+09     7.534576E+08     5.405862E-01     1.355349E-01       2.901487   64
    1.650449E+09     7.536338E+08     5.433765E-01     1.355953E-01       2.900959   65
    1.660200E+09     7.537741E+08     5.459740E-01     1.356523E-01       2.900443   66
    1.669324E+09     7.538787E+08     5.483928E-01     1.357095E-01       2.899935   67
    1.677765E+09     7.539475E+08     5.506239E-01     1.357653E-01       2.899438   68
    1.685446E+09     7.539807E+08     5.526520E-01     1.358165E-01       2.898956   69
    1.692288E+09     7.539783E+08     5.544623E-01     1.358604E-01       2.898493   70
    1.698549E+09     7.539402E+08     5.561269E-01     1.359125E-01       2.898027   71
    1.704003E+09     7.538667E+08     5.575907E-01     1.359618E-01       2.897575   72
    1.708533E+09     7.537576E+08     5.588276E-01     1.360018E-01       2.897145   73
    1.712389E+09     7.536128E+08     5.599055E-01     1.360481E-01       2.896716   74
    1.715366E+09     7.534324E+08     5.607746E-01     1.360898E-01       2.896303   75
    1.717438E+09     7.532161E+08     5.614303E-01     1.361256E-01       2.895908   76
    1.718758E+09     7.529641E+08     5.619138E-01     1.361650E-01       2.895518   77
    1.719054E+09     7.526763E+08     5.621568E-01     1.361926E-01       2.895156   78
    1.718731E+09     7.523522E+08     5.622629E-01     1.362315E-01       2.894787   79
    1.717464E+09     7.519919E+08     5.621499E-01     1.362629E-01       2.894439   80
    1.715309E+09     7.515955E+08     5.618309E-01     1.362902E-01       2.894108   81
    1.712293E+09     7.511626E+08     5.613119E-01     1.363144E-01       2.893793   82
    1.708577E+09     7.506927E+08     5.606328E-01     1.363439E-01       2.893480   83
    1.703912E+09     7.501861E+08     5.597272E-01     1.363641E-01       2.893191   84
    1.698502E+09     7.496422E+08     5.586452E-01     1.363851E-01       2.892912   85
    1.692247E+09     7.490610E+08     5.573572E-01     1.364009E-01       2.892652   86
    1.685328E+09     7.484419E+08     5.559072E-01     1.364204E-01       2.892397   87
    1.677543E+09     7.477852E+08     5.542379E-01     1.364306E-01       2.892167   88
    1.669193E+09     7.470892E+08     5.524249E-01     1.364480E-01       2.891937   89
    1.660077E+09     7.463554E+08     5.504093E-01     1.364588E-01       2.891728   90
    1.650219E+09     7.455826E+08     5.481916E-01     1.364625E-01       2.891541   91
    1.639858E+09     7.447696E+08     5.458330E-01     1.364731E-01       2.891355   92
    1.628821E+09     7.439174E+08     5.432786E-01     1.364766E-01       2.891191   93
    1.617114E+09     7.430252E+08     5.405240E-01     1.364713E-01       2.891051   94
    1.604999E+09     7.420917E+08     5.376373E-01     1.364730E-01       2.890912   95
    1.592306E+09     7.411172E+08     5.345636E-01     1.364677E-01       2.890794   96
    1.579139E+09     7.401010E+08     5.313261E-01     1.364601E-01       2.890691   97
    1.565526E+09     7.390423E+08     5.279273E-01     1.364499E-01       2.890603   98
    1.551528E+09     7.379407E+08     5.243781E-01     1.364387E-01       2.890528   99
    1.537179E+09     7.367953E+08     5.206835E-01     1.364277E-01       2.890465  100
    1.522464E+09     7.356057E+08     5.168321E-01     1.364118E-01       2.890419  101
    1.507445E+09     7.343712E+08     5.128370E-01     1.363939E-01       2.890388  102
    1.492159E+09     7.330907E+08     5.087048E-01     1.363745E-01       2.890370  103
    1.476600E+09     7.317641E+08     5.044262E-01     1.363499E-01       2.890370  104
    1.460840E+09     7.303897E+08     5.000206E-01     1.363238E-01       2.890384  105
    1.444874E+09     7.289675E+08     4.954804E-01     1.362933E-01       2.890416  106
    1.428832E+09     7.274949E+08     4.908464E-01     1.362672E-01       2.890452  107
    1.412583E+09     7.259730E+08     4.860671E-01     1.362308E-01       2.890513  108
    1.396241E+09     7.244000E+08     4.811784E-01     1.361915E-01       2.890590  109
    1.379861E+09     7.227735E+08     4.761983E-01     1.361536E-01       2.890675  110
    1.363410E+09     7.210941E+08     4.711097E-01     1.361099E-01       2.890779  111
    1.346970E+09     7.193588E+08     4.659431E-01     1.360676E-01       2.890892  112
    1.330459E+09     7.175692E+08     4.606603E-01     1.360132E-01       2.891032  113
    1.314065E+09     7.157189E+08     4.553397E-01     1.359695E-01       2.891169  114
    1.297604E+09     7.138131E+08     4.498991E-01     1.359069E-01       2.891341  115
    1.281274E+09     7.118438E+08     4.444249E-01     1.358524E-01       2.891513  116
    1.264979E+09     7.098142E+08     4.388727E-01     1.357876E-01       2.891708  117
    1.248802E+09     7.077193E+08     4.332815E-01     1.357240E-01       2.891913  118
    1.232751E+09     7.055574E+08     4.276561E-01     1.356602E-01       2.892127  119
    1.216830E+09     7.033272E+08     4.220004E-01     1.355949E-01       2.892353  120
    2.781871E+09     7.527841E+08     7.293965E-01     1.752115E-01       2.836397  121
    2.825880E+09     7.531637E+08     7.334764E-01     1.752524E-01       2.835683  122
    2.868684E+09     7.534962E+08     7.373373E-01     1.753015E-01       2.834969  123
    2.909404E+09     7.537817E+08     7.409154E-01     1.753476E-01       2.834279  124
    2.948211E+09     7.540203E+08     7.442448E-01     1.753966E-01       2.833598  125
    2.984654E+09     7.542121E+08     7.473033E-01     1.754461E-01       2.832934  126
    3.018612E+09     7.543576E+08     7.500979E-01     1.754970E-01       2.832284  127
    3.050198E+09     7.544566E+08     7.526532E-01     1.755541E-01       2.831639  128
    3.078487E+09     7.545095E+08     7.549090E-01     1.756069E-01       2.831021  129
    3.103804E+09     7.545161E+08     7.569060E-01     1.756635E-01       2.830414  130
    3.126087E+09     7.544765E+08     7.586515E-01     1.757247E-01       2.829816  131
    3.144597E+09     7.543906E+08     7.600994E-01     1.757825E-01       2.829243  132
    3.159964E+09     7.542587E+08     7.613078E-01     1.758480E-01       2.828673  133
    3.171199E+09     7.540804E+08     7.622097E-01     1.759086E-01       2.828132  134
    3.178869E+09     7.538560E+08     7.628540E-01     1.759740E-01       2.827602  135
    3.182794E+09     7.535853E+08     7.632315E-01     1.760418E-01       2.827085  136
    3.182520E+09     7.532681E+08     7.633108E-01     1.761060E-01       2.826595  137
    3.178813E+09     7.529045E+08     7.631492E-01     1.761781E-01       2.826110  138
    3.170994E+09     7.524943E+08     7.626945E-01     1.762475E-01       2.825650  139
    3.159604E+09     7.520373E+08     7.619837E-01     1.763213E-01       2.825202  140
    3.144632E+09     7.515332E+08     7.610108E-01     1.763976E-01       2.824768  141
    3.125800E+09     7.509822E+08     7.597472E-01     1.764718E-01       2.824360  142
    3.103556E+09     7.503834E+08     7.582182E-01     1.765474E-01       2.823969  143
    3.078393E+09     7.497376E+08     7.564516E-01     1.766294E-01       2.823586  144
    3.049666E+09     7.490433E+08     7.543851E-01     1.767060E-01       2.823235  145
    3.018481E+09     7.483010E+08     7.520935E-01     1.767908E-01       2.822888  146
    2.984314E+09     7.475103E+08     7.495202E-01     1.768726E-01       2.822569  147
    2.947951E+09     7.466705E+08     7.467154E-01     1.769607E-01       2.822258  148
    2.909012E+09     7.457816E+08     7.436306E-01     1.770447E-01       2.821977  149
    2.868107E+09     7.448431E+08     7.403015E-01     1.771312E-01       2.821713  150
    2.825711E+09     7.438543E+08     7.367550E-01     1.772246E-01       2.821456  151
    2.781374E+09     7.428152E+08     7.329323E-01     1.773125E-01       2.821231  152
    2.735834E+09     7.417248E+08     7.288853E-01     1.774048E-01       2.821020  153
    2.689155E+09     7.405832E+08     7.246037E-01     1.774980E-01       2.820828  154
    2.641433E+09     7.393892E+08     7.200803E-01     1.775906E-01       2.820660  155
    2.593052E+09     7.381426E+08     7.153383E-01     1.776854E-01       2.820509  156
    2.544209E+09     7.368426E+08     7.103844E-01     1.777834E-01       2.820373  157
    2.495173E+09     7.354878E+08     7.052358E-01     1.778867E-01       2.820248  158
    2.445625E+09     7.340789E+08     6.998400E-01     1.779835E-01       2.820159  159
    2.396155E+09     7.326141E+08     6.942543E-01     1.780852E-01       2.820082  160
    2.346732E+09     7.310929E+08     6.884634E-01     1.781857E-01       2.820029  161
