#1:t             2:x15e          3:y15e          4:z15e          5:u15e          6:v15e          7:w15e          8:r15e          9:a15e          10:e15e         11:i15e         12:g15e         13:n15e         14:l15e         15:q15e         16:b15e         17:p15e         18:f15e         19:s8.5         20:o8.5         21:m10e         22:d8.5         23:R15e         24:P15e         25:E15e         26:L15e         
0.0000000000e+00 2.7365419900e-03 6.2846979300e-04 2.3243935000e-07 -2.2451489900e-03 9.7958680200e-03 6.7228471000e-06 2.8077814100e-03 2.8189908200e-03 4.0008507800e-03 3.8618259000e-02 6.9101807700e-01 5.8791754600e+00 6.3133141500e+00 2.8077124600e-03 2.8302691800e-03 6.5701935300e+00 6.3639810400e+00 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087812e-12
1.1410000000e-04 2.6130852800e-03 1.0281777800e-03 5.0895436600e-07 -3.6697522300e-03 9.3547099300e-03 6.5254230900e-06 2.8080891200e-03 2.8189908200e-03 4.0008510600e-03 3.8618280100e-02 6.9096578200e-01 5.8792129000e+00 1.4790501400e+01 2.8077124600e-03 2.8302691900e-03 6.5701786800e+00 1.4908109000e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087826e-12
2.2820000000e-04 2.4318655700e-03 1.4051583600e-03 7.7422077600e-07 -5.0126073000e-03 8.7070213800e-03 6.1838820100e-06 2.8086368100e-03 2.8189908200e-03 4.0008506000e-03 3.8618302800e-02 6.9096250900e-01 5.8792157300e+00 2.3267674400e+01 2.8077124600e-03 2.8302691800e-03 6.5701782400e+00 2.3449615500e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087847e-12
3.4220000000e-04 2.1969197900e-03 1.7510966900e-03 1.0223848300e-06 -6.2438190200e-03 7.8675069300e-03 5.7060146900e-06 2.8094122600e-03 2.8189908200e-03 4.0008506700e-03 3.8618316200e-02 6.9100627400e-01 5.8791745400e+00 3.1744844200e+01 2.8077124500e-03 2.8302691800e-03 6.5701808100e+00 3.1987088500e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087814e-12
4.5630000000e-04 1.9134781200e-03 2.0583823000e-03 1.2479789200e-06 -7.3361188400e-03 6.8552000900e-03 5.1027048700e-06 2.8103981500e-03 2.8189908200e-03 4.0008519900e-03 3.8618304500e-02 6.9096846100e-01 5.8792018600e+00 4.0222027100e+01 2.8077124500e-03 2.8302691800e-03 6.5701703200e+00 4.0519214000e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087841e-12
5.7040000000e-04 1.5878411400e-03 2.3202798300e-03 1.4460539700e-06 -8.2654923800e-03 5.6929859200e-03 4.3876408600e-06 2.8115725300e-03 2.8189908200e-03 4.0008495700e-03 3.8618285900e-02 6.9094830700e-01 5.8792578500e+00 4.8699164000e+01 2.8077124600e-03 2.8302691800e-03 6.5702061600e+00 4.9044725200e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087821e-12
6.8450000000e-04 1.2272327500e-03 2.5310780100e-03 1.6122860500e-06 -9.0117163400e-03 4.4070331900e-03 3.5769610300e-06 2.8129093000e-03 2.8189908200e-03 4.0008497300e-03 3.8618288700e-02 6.9099703500e-01 5.8791955300e+00 5.7176350000e+01 2.8077124600e-03 2.8302691800e-03 6.5701925600e+00 5.7562660800e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087828e-12
7.9850000000e-04 8.3963277700e-04 2.6862133000e-03 1.7430610600e-06 -9.5587919900e-03 3.0261542800e-03 2.6888982500e-06 2.8143788200e-03 2.8189908200e-03 4.0008522200e-03 3.8618325700e-02 6.9095828000e-01 5.8792300700e+00 6.5653526500e+01 2.8077124500e-03 2.8302691800e-03 6.5701883500e+00 6.6072078000e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087817e-12
9.1260000000e-04 4.3359390800e-04 2.7823658400e-03 1.8355619100e-06 -9.8952664800e-03 1.5811133000e-03 1.7432633800e-06 2.8159486300e-03 2.8189908200e-03 4.0008494900e-03 3.8618316900e-02 6.9102209500e-01 5.8791786700e+00 7.4130686800e+01 2.8077124600e-03 2.8302691700e-03 6.5702007700e+00 7.4572276900e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087830e-12
1.0267000000e-03 1.8047516400e-05 2.8175257300e-03 1.8878228200e-06 -1.0014438200e-02 1.0390284500e-04 7.6107079800e-07 2.8175841600e-03 2.8189908200e-03 4.0008498400e-03 3.8618276400e-02 6.9094492300e-01 5.8792492900e+00 8.2607865800e+01 2.8077124600e-03 2.8302691700e-03 6.5701942200e+00 8.3062807000e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087813e-12
